38 Province,,,,,,,,,,,,,,,,,,,,,
,Productivity (Quintal/Hectare),,,,,,,,,,,,,,,,,,,,
,Paddy,,,Maize,,,Soybean,,,Peanut,,,Mungbean,,,Cassava,,,Sweet Potato,,
,2008,2009,2010,2008,2009,2010,2008,2009,2010,2008,2009,2010,2008,2009,2010,2008,2009,2010,2008,2009,2010
ACEH,42.61,43.32,44.92,33.04,34.67,38.07,13.34,14.09,14.24,12.13,12.59,12.66,10.43,10.49,10.61,124.16,127.47,142.06,99.41,100.71,100.77
SUMATERA UTARA,44.63,45.91,47.47,45.71,47.08,50.13,12.14,12.36,12.1,11.62,11.73,11.33,10.65,10.73,10.76,194.19,260.88,279.48,110.69,113.39,120.61
SUMATERA BARAT,46.59,47.91,48.02,55.65,57.11,59.24,12.97,16.87,16.48,13.16,11.92,12.59,11.69,11.67,11.75,194.27,230.06,349.85,151.44,186.55,238.13
RIAU,33.44,35.57,36.83,22.41,22.59,23.2,10.86,10.8,11.1,9.29,9.99,9.17,10.7,10.58,10.77,109.78,155.39,179.15,79.29,79.15,79.61
JAMBI,40.67,41.4,40.86,36.36,37.75,37.07,12.47,12.62,12.54,12.08,12.33,12.14,11.08,11.1,11.13,136.38,136.6,136.66,96.44,96.82,96.29
SUMATERA SELATAN,41.34,41.87,42.53,31.98,35.71,37.25,13.65,14.95,15.49,13.03,13.46,13.19,13.93,13.64,13.49,151.6,153.9,157.04,69.36,69.96,69.89
BENGKULU,38.03,38.37,38.68,31.36,33.26,36.23,9.31,9.5,10.24,9.92,9.92,10.32,9.55,9.42,9.68,116.94,116.63,118.06,95.38,95.27,96
LAMPUNG,46.22,46.88,47.54,46.7,47.58,47.52,11.8,11.95,11.82,12.69,12.8,12.61,8.91,8.93,8.96,242.09,244.92,249.48,97.3,97.36,97.4
KEP. BANGKA BELITUNG,24.06,24.64,27.21,30.36,30.63,30.94,10,9.86,9.81,9.11,9.56,9.94,-,-,-,141.58,142.7,146.66,80.5,80.47,77.66
KEP. RIAU,30.15,29.86,31.46,21.19,21.2,21.17,10,10.12,10,9.22,9.19,9.23,-,-,-,105.93,105.76,108.21,77.2,77.18,77.16
DKI JAKARTA,50.93,55.79,55.4,19.5,20,20.67,-,-,-,10,10,11.11,-,-,-,116.41,117.31,116,-,-,-
JAWA BARAT,56.06,58.06,57.6,53.78,57.61,60.08,13.83,14.42,15.21,14.51,14.55,14.59,10.5,11.59,11.37,186.08,188.24,191.81,138.15,140.67,143.32
JAWA TENGAH,55.06,55.65,56.13,41.92,46.21,48.41,14.99,15.91,16.48,12.67,13.08,13.48,11.12,11.16,11.81,174.04,192.65,206.1,138.37,167.77,172.91
DI YOGYAKARTA,56.95,57.62,56.02,40.1,42.24,39.8,10.76,12.72,11.39,9.87,10.54,10.02,6.68,6.35,5.96,142.77,165.58,178.17,125.51,116.5,108.25
JAWA TIMUR,59.02,59.11,59.29,40.88,40.67,44.42,12.79,13.42,13.75,11.87,11.99,12.04,11.46,11.68,11.77,160.34,155.3,194.89,99.31,100.36,94.19
BANTEN,50.14,50.5,50.39,32.08,32.15,32.84,12.97,13.03,13.95,13.27,15.25,14.7,8.76,8.38,8.23,139.75,142.6,144.44,117.17,117.43,119.24
BALI,58.37,58.47,57.11,28.48,28.79,24.85,14.69,14.42,11.51,13.55,13.09,11.14,9.62,9.6,9.87,146.36,154.63,151.49,137.3,125.67,123.21
NUSA TENGGARA BARAT,48.67,49.98,47.41,33.22,37.88,40.43,12.49,10.9,10.75,12.67,13.43,13.44,9.93,9.78,10.99,120.23,130.58,131.92,115.27,116.37,116.95
NUSA TENGGARA TIMUR,30.75,31.27,31.8,24.86,25.5,26.72,9.87,10.45,10.13,11.73,12.21,12.11,8.35,8.42,8.54,105.68,102.41,100.77,79.87,80.32,81.06
KALIMANTAN BARAT,31.2,31.05,31.37,42.35,40.39,37.38,11.72,11.64,13.68,11.31,10.92,11.41,6.93,7.15,7.19,141.7,144.55,149.25,78.34,77.25,79.74
